delta,alpha_0.0deg,alpha_1.0deg,alpha_2.0deg,alpha_3.0deg,alpha_4.0deg,alpha_5.0deg,alpha_6.0deg,alpha_7.0deg,alpha_8.0deg,alpha_9.0deg,alpha_10.0deg,alpha_11.0deg,alpha_12.0deg
-0.1,0.02020716192513229,0.018624449812336377,0.01694086620178979,0.01513685801364236,0.013706313946480399,0.012590207302671822,0.010150410813856566,0.012646927250015328,0.015030380305222612,0.016115220873787407,0.01651442281709159,0.016626606398081785,0.016735840068859364
-0.09000000000000001,0.017459978101911907,0.01595284715640511,0.014413965298572333,0.012947798668717219,0.0119790897820177,0.009889809471349919,0.010216213019975403,0.01283679383332078,0.014147477319517758,0.014630068375104449,0.014806166698904492,0.014873812492392755,0.01549662009845911
-0.08,0.01509889263414425,0.013750788858672097,0.012402984579517088,0.011378500805529936,0.010334002651443621,0.008410545187653485,0.010883070644594562,0.012446173542354812,0.013028718327996604,0.013224984865179553,0.01333304581026675,0.01351442000462514,0.015169615697995673
-0.07,0.01316490883648155,0.012011453120162519,0.010979560646742116,0.010239677477314047,0.007933859421221854,0.009131987163329004,0.010929705720794118,0.011646578639399035,0.011871029234764711,0.011990107193937382,0.012151598605107485,0.01281150471353955,0.015327036179802812
-0.060000000000000005,0.011731260831157796,0.010722605200123667,0.00997085469788086,0.008799965640743963,0.0076795746722703616,0.00952162991330355,0.01035946972759475,0.010641105949171812,0.010771665832302227,0.010976344434789115,0.011352592404304602,0.012970488850907715,0.015497983431467162
-0.05,0.010557497215178952,0.009783394024274096,0.00913685104825301,0.006971815619631591,0.008243220010707684,0.009165033072389445,0.009537234033629608,0.009724557641196356,0.009974676349603247,0.010382175423084257,0.01130643663561634,0.013805827389610548,0.016076261830499046
-0.04000000000000001,0.009602444759774677,0.009038440286638976,0.007634815983590357,0.007165649520871117,0.008112587332067139,0.00857510427972037,0.008844516008322935,0.009135197843990354,0.009590951582977444,0.010281355058508423,0.01206296005157531,0.014682687654293224,0.01668706352959124
-0.03,0.008857087216593038,0.00827061523373077,0.006494493657841011,0.007289596446144645,0.007798702386737522,0.008112542002190047,0.00840649532595842,0.008846141025374248,0.00948497126126905,0.010672219172200752,0.013036728638420952,0.015370954097458794,0.017402417866261684
-0.020000000000000004,0.00824578187698057,0.006814644704830111,0.006663429925990679,0.007165312762262488,0.007465007722027716,0.007766884547603568,0.008209692768146412,0.008859574521527537,0.009810671340495795,0.011748697264685729,0.014323543986092929,0.0165918402313231,0.019133221551986764
-0.010000000000000009,0.007498612893901847,0.0062401813235347285,0.006686504435411022,0.0070384572322065965,0.0074285692924937405,0.007934026619984363,0.008617213773676049,0.009513050117566502,0.011103877187783752,0.013563233733106196,0.016187198970971567,0.018715026602486366,0.021996159673618544
0.0,0.00669704809851477,0.00637812114231391,0.0068713599181431115,0.007397975817699474,0.007979173510358834,0.008675625406186483,0.009530027793613055,0.010809197808877454,0.013063358550087317,0.015900996517729065,0.018650485486140397,0.02178255573714168,0.025963364063874783
0.009999999999999995,0.0066527816489878565,0.006787182853690002,0.007409282787579556,0.008094186593008697,0.00880690672056769,0.0096318266882232,0.010723837434984437,0.012745940684388266,0.015564258160635804,0.018691494466945107,0.021835591770971285,0.025744435621858745,0.03086733242578664
0.01999999999999999,0.007133648577021689,0.00758035589350119,0.008212937288986092,0.008968745176803626,0.009821102646284085,0.010869354078547059,0.012642136678845855,0.015441389233299341,0.018912473171212765,0.022265932475610695,0.026053950707065492,0.03081327507564378,0.03691676423532686
0.03,0.007859799471276385,0.008759395249173286,0.009490427787774059,0.010223993737393744,0.011241969011579374,0.012813105871274657,0.01553504194032716,0.019068984434289674,0.02285236434809814,0.02663887461731275,0.03117288450606561,0.03679163542990635,0.043920065321753854
0.04000000000000001,0.008858874592528229,0.010206851593331146,0.011272927112685936,0.01219567723880224,0.013465796663560757,0.01589671621159484,0.019410344674293187,0.023650944888652038,0.027650720739583134,0.032053200661753614,0.03733289094293718,0.04379871040921495,0.05200776321451984
0.04999999999999999,0.01034902802879817,0.012072930194627298,0.01346921509172044,0.014846511248648614,0.016867067489830263,0.020141058140434178,0.02433192189504951,0.028835750832940585,0.033236728683859774,0.03828598973009848,0.04427998108389631,0.0516007490582608,0.06096760454471489
0.06,0.012555630924297732,0.01457936130922723,0.016260685795779432,0.01818629695227076,0.02136698783794073,0.025437149505044773,0.03023813833677757,0.034853168742921145,0.03972244301114273,0.04536217331794764,0.05202599175267608,0.06021802889144525,0.07081630920868182
0.07,0.015553845817564485,0.01777691594306737,0.019743431619503052,0.022532218500417766,0.02675791802077473,0.03169079035040942,0.03693333053334217,0.04178787304818061,0.04711468150401362,0.05326486082127398,0.06054152303651113,0.06963078656964042,0.08144853645045085
0.07999999999999999,0.01925671851570029,0.02158537533425174,0.023964001264292187,0.027967841424953517,0.03296044173827604,0.03855884035443972,0.043995988123186745,0.04932888543930204,0.05518422718351601,0.061812686855000055,0.06972459378781491,0.07981007693630086,0.0928082755813557
0.09,0.023494055693761586,0.025932005592392587,0.02916586313992705,0.03435544256693068,0.03999036798429297,0.04599974392623282,0.05155809813780453,0.05735604402914964,0.06377626782996387,0.07103945700885629,0.07973081517330573,0.09083395358566848,0.1048007518326207
0.1,0.0281385004500733,0.030852372382913527,0.03547047842494425,0.041472595041986554,0.047557121557632004,0.05362266887727507,0.05937936539105079,0.06557729135703157,0.07248095955377855,0.08044249757432652,0.09024149674960652,0.10268628754540869,0.11762972855499206
